doc_no,case_id,title,step_count,error_count,warning_count,high_warning_count,rule_decision
0001,sci_evo_0001,Ultrahigh-throughput screening-assisted in vivo directed evolution for enzyme engineering.,12,0,5,0,pass
0002,sci_evo_0002,High-throughput screening of catalytically active inclusion bodies using laboratory automation and Bayesian optimization,12,0,2,0,pass
0003,sci_evo_0003,Enzyme engineering: A synthetic biology approach for more effective library generation and automated high-throughput screening.,12,0,3,0,pass
0004,sci_evo_0004,Active learning-assisted directed evolution.,12,0,4,0,pass
0005,sci_evo_0005,directed evolution of a cyclodipeptide synthase with new activities via label fr,10,0,1,0,pass
0007,sci_evo_0007,selection finder selfi a computational metabolic engineering tool to enable dire,11,0,4,0,pass
0009,sci_evo_0009,rapid discovery of cd38 inhibitor via dna encoded natural product library screen,11,0,1,0,pass
0010,sci_evo_0010,Heme biosensor-guided in vivo pathway optimization and directed evolution for efficient biosynthesis of heme,12,0,5,0,pass
0011,sci_evo_0011,"Integrating continuous hypermutation with high‐throughput screening for optimization of cis,cis ‐muconic acid production in yeast",11,0,4,0,pass
0012,sci_evo_0012,Bayesian optimization with evolutionary and structure-based regularization for directed protein evolution,9,0,3,0,pass
0013,sci_evo_0013,Creation of Novel Protein Variants with CRISPR/Cas9-Mediated Mutagenesis: Turning a Screening By-Product into a Discovery Tool,12,0,3,0,pass
0014,sci_evo_0014,Machine learning-guided co-optimization of fitness and diversity facilitates combinatorial library design in enzyme engineering,9,0,0,0,pass
0018,sci_evo_0018,Targeted mutagenesis and high-throughput screening of diversified gene and promoter libraries for isolating gain-of-function mutations,12,0,2,0,pass
0019,sci_evo_0019,High-throughput screening of spike variants uncovers the key residues that alter the affinity and antigenicity of SARS-CoV-2,12,0,5,0,pass
0020,sci_evo_0020,ACIDES: on-line monitoring of forward genetic screens for protein engineering,11,0,3,0,pass
0021,sci_evo_0021,Directed Evolution of Pseudomonas fluorescens Lipase Variants With Improved Thermostability Using Error-Prone PCR,8,0,3,0,pass
0022,sci_evo_0022,NADPH biosensor-based identification of an alcohol dehydrogenase variant with improved catalytic properties caused by a single charge reversal at the protein surface,12,0,5,0,pass
0024,sci_evo_0024,Hue-shifted monomeric variants of Clavulariacyan fluorescent protein: identification of the molecular determinants of color and applications in fluorescence imaging,12,0,2,0,pass
0025,sci_evo_0025,Designed active-site library reveals thousands of functional GFP variants,12,0,2,0,pass
0026,sci_evo_0026,Laboratory evolution of synthetic electron transport system variants reveals a larger metabolic respiratory system and its plasticity,12,0,1,0,pass
0027,sci_evo_0027,"Biosensor-driven, model-based optimization of the orthogonally expressed naringenin biosynthesis pathway",11,0,7,0,pass
0030,sci_evo_0030,Identification of Thermus aquaticus DNA polymerase variants with increased mismatch discrimination and reverse transcriptase activity from a smart enzyme mutant library,12,0,3,0,pass
0031,sci_evo_0031,AMMOS: Automated Molecular Mechanics Optimization tool for in silico Screening,11,0,3,0,pass
0032,sci_evo_0032,Hotspot Hunter: a computational system for large-scale screening and selection of candidate immunological hotspots in pathogen proteomes,11,0,3,0,pass
0033,sci_evo_0033,PreMode predicts mode-of-action of missense variants by deep graph representation learning of protein sequence and structural context,12,0,6,0,pass
0034,sci_evo_0034,Metabolic engineering and adaptive laboratory evolution of Kluyveromyces Marxianus for lactic acid production,11,0,5,0,pass
0036,sci_evo_0036,Design and structural validation of peptide–drug conjugate ligands of the kappa-opioid receptor,11,0,6,0,pass
0038,sci_evo_0038,Analysis of protein secretion in Bacillus subtilis by combining a secretion stress biosensor strain with an in vivo split GFP assay,12,0,4,0,pass
