doc_no,case_id,evidence_count,bad_evidence_count,bad_evidence_ratio,warning_counts
0001,sci_evo_0001,43,0,0.0,{}
0002,sci_evo_0002,32,0,0.0,{}
0003,sci_evo_0003,30,0,0.0,{}
0004,sci_evo_0004,37,0,0.0,{}
0005,sci_evo_0005,25,0,0.0,{}
0007,sci_evo_0007,36,0,0.0,{}
0009,sci_evo_0009,29,0,0.0,{}
0010,sci_evo_0010,28,0,0.0,{}
0011,sci_evo_0011,31,0,0.0,{}
0012,sci_evo_0012,32,0,0.0,{}
0013,sci_evo_0013,32,0,0.0,{}
0014,sci_evo_0014,33,0,0.0,{}
0018,sci_evo_0018,26,0,0.0,{}
0019,sci_evo_0019,21,0,0.0,{}
0020,sci_evo_0020,36,0,0.0,{}
0021,sci_evo_0021,23,0,0.0,{}
0022,sci_evo_0022,37,0,0.0,{}
0024,sci_evo_0024,38,0,0.0,{}
0025,sci_evo_0025,23,0,0.0,{}
0026,sci_evo_0026,19,0,0.0,{}
0027,sci_evo_0027,37,0,0.0,{}
0030,sci_evo_0030,23,0,0.0,{}
0031,sci_evo_0031,32,0,0.0,{}
0032,sci_evo_0032,37,0,0.0,{}
0033,sci_evo_0033,35,0,0.0,{}
0034,sci_evo_0034,50,0,0.0,{}
0036,sci_evo_0036,35,0,0.0,{}
0038,sci_evo_0038,28,0,0.0,{}
0039,sci_evo_0039,39,0,0.0,{}
0041,sci_evo_0041,26,0,0.0,{}
0042,sci_evo_0042,29,0,0.0,{}
0043,sci_evo_0043,37,0,0.0,{}
0044,sci_evo_0044,19,0,0.0,{}
0045,sci_evo_0045,32,0,0.0,{}
0047,sci_evo_0047,20,0,0.0,{}
0048,sci_evo_0048,20,0,0.0,{}
0050,sci_evo_0050,28,0,0.0,{}
0052,sci_evo_0052,41,0,0.0,{}
0053,sci_evo_0053,36,0,0.0,{}
0055,sci_evo_0055,26,0,0.0,{}
0056,sci_evo_0056,36,0,0.0,{}
0057,sci_evo_0057,27,0,0.0,{}
0058,sci_evo_0058,22,0,0.0,{}
0059,sci_evo_0059,16,0,0.0,{}
0061,sci_evo_0061,26,0,0.0,{}
0062,sci_evo_0062,17,0,0.0,{}
