doc_no,case_id,decision,issue_count,issue_types
0001,sci_evo_0001,pass,0,[]
0002,sci_evo_0002,pass,0,[]
0003,sci_evo_0003,pass,0,[]
0004,sci_evo_0004,pass,0,[]
0005,sci_evo_0005,pass,0,[]
0007,sci_evo_0007,pass,0,[]
0009,sci_evo_0009,pass,0,[]
0010,sci_evo_0010,pass,0,[]
0011,sci_evo_0011,pass,0,[]
0012,sci_evo_0012,pass,0,[]
0013,sci_evo_0013,pass,0,[]
0014,sci_evo_0014,pass,0,[]
0018,sci_evo_0018,pass,0,[]
0019,sci_evo_0019,pass,0,[]
0020,sci_evo_0020,pass,0,[]
0021,sci_evo_0021,pass,0,[]
0022,sci_evo_0022,pass,0,[]
0024,sci_evo_0024,pass,0,[]
0025,sci_evo_0025,pass,0,[]
0026,sci_evo_0026,pass,0,[]
0027,sci_evo_0027,pass,0,[]
0030,sci_evo_0030,pass,0,[]
0031,sci_evo_0031,pass,0,[]
0032,sci_evo_0032,pass,0,[]
0033,sci_evo_0033,pass,0,[]
0034,sci_evo_0034,pass,0,[]
0036,sci_evo_0036,pass,0,[]
0038,sci_evo_0038,pass,0,[]
0039,sci_evo_0039,pass,0,[]
0041,sci_evo_0041,pass,0,[]
0042,sci_evo_0042,pass,0,[]
0043,sci_evo_0043,pass,0,[]
0044,sci_evo_0044,pass,0,[]
0045,sci_evo_0045,pass,0,[]
0047,sci_evo_0047,pass,0,[]
0048,sci_evo_0048,pass,0,[]
0050,sci_evo_0050,pass,0,[]
0052,sci_evo_0052,pass,0,[]
0053,sci_evo_0053,pass,0,[]
0055,sci_evo_0055,pass,0,[]
0056,sci_evo_0056,pass,0,[]
0057,sci_evo_0057,pass,0,[]
0058,sci_evo_0058,pass,0,[]
0059,sci_evo_0059,pass,0,[]
0061,sci_evo_0061,pass,0,[]
0062,sci_evo_0062,pass,0,[]
0064,sci_evo_0064,pass,0,[]
0067,sci_evo_0067,pass,0,[]
0068,sci_evo_0068,pass,0,[]
0069,sci_evo_0069,pass,0,[]
0071,sci_evo_0071,pass,0,[]
0072,sci_evo_0072,pass,0,[]
0073,sci_evo_0073,pass,0,[]
0074,sci_evo_0074,pass,0,[]
0075,sci_evo_0075,pass,0,[]
0076,sci_evo_0076,pass,0,[]
0078,sci_evo_0078,pass,0,[]
0079,sci_evo_0079,pass,0,[]
0080,sci_evo_0080,pass,0,[]
0081,sci_evo_0081,pass,0,[]
0084,sci_evo_0084,pass,0,[]
0085,sci_evo_0085,pass,0,[]
0086,sci_evo_0086,pass,0,[]
0087,sci_evo_0087,pass,0,[]
0088,sci_evo_0088,pass,0,[]
0091,sci_evo_0091,pass,0,[]
0092,sci_evo_0092,pass,0,[]
0093,sci_evo_0093,pass,0,[]
0094,sci_evo_0094,pass,0,[]
0095,sci_evo_0095,pass,0,[]
0097,sci_evo_0097,pass,0,[]
0098,sci_evo_0098,pass,0,[]
0103,sci_evo_0103,pass,0,[]
0107,sci_evo_0107,pass,0,[]
0108,sci_evo_0108,pass,0,[]
0111,sci_evo_0111,pass,0,[]
0112,sci_evo_0112,pass,0,[]
0113,sci_evo_0113,pass,0,[]
0114,sci_evo_0114,pass,0,[]
0115,sci_evo_0115,pass,0,[]
0116,sci_evo_0116,pass,0,[]
0117,sci_evo_0117,pass,0,[]
0118,sci_evo_0118,pass,0,[]
0119,sci_evo_0119,pass,0,[]
0120,sci_evo_0120,pass,0,[]
0121,sci_evo_0121,pass,0,[]
0122,sci_evo_0122,pass,0,[]
0123,sci_evo_0123,pass,0,[]
0127,sci_evo_0127,pass,0,[]
0128,sci_evo_0128,pass,0,[]
0129,sci_evo_0129,pass,0,[]
0132,sci_evo_0132,pass,0,[]
0133,sci_evo_0133,pass,0,[]
0134,sci_evo_0134,pass,0,[]
0137,sci_evo_0137,pass,0,[]
0138,sci_evo_0138,pass,0,[]
0141,sci_evo_0141,pass,0,[]
0142,sci_evo_0142,pass,0,[]
0143,sci_evo_0143,pass,0,[]
0144,sci_evo_0144,pass,0,[]
0145,sci_evo_0145,pass,0,[]
0146,sci_evo_0146,pass,0,[]
0148,sci_evo_0148,pass,0,[]
0149,sci_evo_0149,pass,0,[]
0150,sci_evo_0150,pass,0,[]
0151,sci_evo_0151,pass,0,[]
0152,sci_evo_0152,pass,0,[]
0153,sci_evo_0153,pass,0,[]
0154,sci_evo_0154,pass,0,[]
0156,sci_evo_0156,pass,0,[]
0158,sci_evo_0158,pass,0,[]
0159,sci_evo_0159,pass,0,[]
0160,sci_evo_0160,pass,0,[]
0161,sci_evo_0161,pass,0,[]
0163,sci_evo_0163,pass,0,[]
0165,sci_evo_0165,pass,0,[]
0168,sci_evo_0168,pass,0,[]
0169,sci_evo_0169,pass,0,[]
0170,sci_evo_0170,pass,0,[]
