doc_no,case_id,severity,message
0001,sci_evo_0001,warning,step 3: numeric tokens not in this step evidence quote: 01
0001,sci_evo_0001,warning,"step 5: numeric tokens not in this step evidence quote: 10, 43, 6.77"
0001,sci_evo_0001,warning,step 7: numeric tokens not in this step evidence quote: 72
0001,sci_evo_0001,warning,phase_backtrack_count=2
0001,sci_evo_0001,warning,evidence_quote_reused_3plus=1
0002,sci_evo_0002,warning,step 6: numeric tokens not in this step evidence quote: 1.1
0002,sci_evo_0002,warning,phase_backtrack_count=2
0003,sci_evo_0003,warning,"step 1: numeric tokens not in this step evidence quote: 1, 2, 3"
0003,sci_evo_0003,warning,step 4: numeric tokens not in this step evidence quote: 10
0003,sci_evo_0003,warning,phase_backtrack_count=2
0004,sci_evo_0004,warning,"step 5: numeric tokens not in this step evidence quote: 0, 216, 6, 7, 9"
0004,sci_evo_0004,warning,step 6: numeric tokens not in this step evidence quote: 1
0004,sci_evo_0004,warning,step 10: numeric tokens not in this step evidence quote: 8
0004,sci_evo_0004,warning,step 11: numeric tokens not in this step evidence quote: 96
0005,sci_evo_0005,warning,"step 4: numeric tokens not in this step evidence quote: 00, 01, 02, 04, 05, 06, 07, 19, 3, 5, 52, 59"
0007,sci_evo_0007,warning,"step 2: numeric tokens not in this step evidence quote: 1, 1000"
0007,sci_evo_0007,warning,step 4: numeric tokens not in this step evidence quote: 3
0007,sci_evo_0007,warning,step 5: numeric tokens not in this step evidence quote: 4
0007,sci_evo_0007,warning,"step 9: numeric tokens not in this step evidence quote: 0086, 111, 1432, 1518"
0009,sci_evo_0009,warning,phase_backtrack_count=4
0010,sci_evo_0010,warning,"step 2: numeric tokens not in this step evidence quote: 10, 140"
0010,sci_evo_0010,warning,step 5: numeric tokens not in this step evidence quote: 4
0010,sci_evo_0010,warning,step 11: numeric tokens not in this step evidence quote: 30
0010,sci_evo_0010,warning,phase_backtrack_count=2
0010,sci_evo_0010,warning,evidence_quote_reused_3plus=1
0011,sci_evo_0011,warning,step 3: numeric tokens not in this step evidence quote: 2.1
0011,sci_evo_0011,warning,step 4: numeric tokens not in this step evidence quote: 5
0011,sci_evo_0011,warning,step 6: numeric tokens not in this step evidence quote: 10000
0011,sci_evo_0011,warning,step 8: numeric tokens not in this step evidence quote: 8
0012,sci_evo_0012,warning,"step 4: numeric tokens not in this step evidence quote: 19, 20, 7.22-7.27"
0012,sci_evo_0012,warning,step 9: numeric tokens not found in full paper after normalization: 570
0012,sci_evo_0012,warning,step 9: numeric tokens not in this step evidence quote: 570
0013,sci_evo_0013,warning,step 7: numeric tokens not in this step evidence quote: 14
0013,sci_evo_0013,warning,phase_backtrack_count=4
0013,sci_evo_0013,warning,evidence_quote_reused_3plus=1
0018,sci_evo_0018,warning,step 6: numeric tokens not in this step evidence quote: 20
0018,sci_evo_0018,warning,phase_backtrack_count=1
0019,sci_evo_0019,warning,step 2: numeric tokens not in this step evidence quote: 3
0019,sci_evo_0019,warning,"step 6: numeric tokens not in this step evidence quote: 19, 20"
0019,sci_evo_0019,warning,step 11: numeric tokens not found in full paper after normalization: 48-606
0019,sci_evo_0019,warning,"step 11: numeric tokens not in this step evidence quote: 48-606, 8-58"
0019,sci_evo_0019,warning,phase_backtrack_count=6
0020,sci_evo_0020,warning,"step 4: numeric tokens not in this step evidence quote: 0, 1, 50"
0020,sci_evo_0020,warning,"step 8: numeric tokens not in this step evidence quote: 10, 100, 50"
0020,sci_evo_0020,warning,phase_backtrack_count=3
0021,sci_evo_0021,warning,step 5: numeric tokens not in this step evidence quote: 2.2
0021,sci_evo_0021,warning,step 6: numeric tokens not in this step evidence quote: 47.2
0021,sci_evo_0021,warning,step 8: numeric tokens not in this step evidence quote: 8
0022,sci_evo_0022,warning,step 1: numeric tokens not in this step evidence quote: 3
0022,sci_evo_0022,warning,step 3: numeric tokens not in this step evidence quote: 2.5x105
0022,sci_evo_0022,warning,"step 8: numeric tokens not in this step evidence quote: 51.5, 52.8"
0022,sci_evo_0022,warning,"step 9: numeric tokens not in this step evidence quote: 173.3, 4.3"
0022,sci_evo_0022,warning,phase_backtrack_count=5
0024,sci_evo_0024,warning,step 6: numeric tokens not in this step evidence quote: 12
0024,sci_evo_0024,warning,evidence_quote_reused_3plus=1
0025,sci_evo_0025,warning,"step 6: numeric tokens not in this step evidence quote: 405, 488, 525, 530, 5x107"
0025,sci_evo_0025,warning,phase_backtrack_count=2
0026,sci_evo_0026,warning,"step 11: numeric tokens not in this step evidence quote: 10, 3"
0027,sci_evo_0027,warning,step 2: numeric tokens not found in full paper after normalization: 160000
0027,sci_evo_0027,warning,"step 2: numeric tokens not in this step evidence quote: 10, 160000, 2"
0027,sci_evo_0027,warning,"step 6: numeric tokens not in this step evidence quote: 0.93, 6"
0027,sci_evo_0027,warning,"step 7: numeric tokens not in this step evidence quote: 0.79, 2"
0027,sci_evo_0027,warning,step 8: numeric tokens not in this step evidence quote: 1000
0027,sci_evo_0027,warning,phase_backtrack_count=2
0027,sci_evo_0027,warning,evidence_quote_reused_3plus=1
0030,sci_evo_0030,warning,step 3: numeric tokens not in this step evidence quote: 92
0030,sci_evo_0030,warning,step 4: numeric tokens not in this step evidence quote: 25
0030,sci_evo_0030,warning,phase_backtrack_count=3
0031,sci_evo_0031,warning,"step 7: numeric tokens not in this step evidence quote: 50, 76"
0031,sci_evo_0031,warning,step 8: numeric tokens not in this step evidence quote: 34
0031,sci_evo_0031,warning,phase_backtrack_count=2
0032,sci_evo_0032,warning,step 7: numeric tokens not in this step evidence quote: 2
0032,sci_evo_0032,warning,step 8: numeric tokens not in this step evidence quote: 1
0032,sci_evo_0032,warning,phase_backtrack_count=2
0033,sci_evo_0033,warning,"step 4: numeric tokens not in this step evidence quote: 1280, 20"
0033,sci_evo_0033,warning,step 5: numeric tokens not in this step evidence quote: 0.932
0033,sci_evo_0033,warning,"step 6: numeric tokens not in this step evidence quote: 10, 50"
0033,sci_evo_0033,warning,"step 7: numeric tokens not in this step evidence quote: 20, 80"
0033,sci_evo_0033,warning,step 12: numeric tokens not in this step evidence quote: 0.69
0033,sci_evo_0033,warning,phase_backtrack_count=2
0034,sci_evo_0034,warning,"step 3: numeric tokens not in this step evidence quote: 2.5, 50"
0034,sci_evo_0034,warning,"step 8: numeric tokens not in this step evidence quote: 19, 24, 45"
0034,sci_evo_0034,warning,"step 9: numeric tokens not in this step evidence quote: 0-30, 10, 30"
0034,sci_evo_0034,warning,"step 10: numeric tokens not in this step evidence quote: 54, 94"
0034,sci_evo_0034,warning,phase_backtrack_count=1
0036,sci_evo_0036,warning,step 3: numeric tokens not in this step evidence quote: 3
0036,sci_evo_0036,warning,"step 6: numeric tokens not in this step evidence quote: 5.5, 83"
0036,sci_evo_0036,warning,"step 7: numeric tokens not in this step evidence quote: 2, 25, 30"
0036,sci_evo_0036,warning,step 8: numeric tokens not in this step evidence quote: 1.89
0036,sci_evo_0036,warning,"step 10: numeric tokens not in this step evidence quote: 1, 2.6"
0036,sci_evo_0036,warning,evidence_quote_reused_3plus=1
0038,sci_evo_0038,warning,step 6: numeric tokens not in this step evidence quote: 12
0038,sci_evo_0038,warning,"step 7: numeric tokens not in this step evidence quote: 0.73, 0.85"
0038,sci_evo_0038,warning,"step 10: numeric tokens not in this step evidence quote: 3, 5"
0038,sci_evo_0038,warning,phase_backtrack_count=2
0039,sci_evo_0039,warning,step 2: numeric tokens not in this step evidence quote: 107
0039,sci_evo_0039,warning,step 4: numeric tokens not in this step evidence quote: 4
0039,sci_evo_0039,warning,"step 5: numeric tokens not in this step evidence quote: 1.5x104, 4"
0039,sci_evo_0039,warning,step 6: numeric tokens not in this step evidence quote: 0-107
0039,sci_evo_0039,warning,"step 8: numeric tokens not in this step evidence quote: 13, 27, 80"
0039,sci_evo_0039,warning,phase_backtrack_count=3
0041,sci_evo_0041,warning,"step 10: numeric tokens not in this step evidence quote: 162, 2, 37"
0041,sci_evo_0041,warning,phase_backtrack_count=3
0042,sci_evo_0042,warning,step 2: numeric tokens not in this step evidence quote: 35
0042,sci_evo_0042,warning,step 3: numeric tokens not in this step evidence quote: 2
0042,sci_evo_0042,warning,phase_backtrack_count=5
0044,sci_evo_0044,warning,step 5: numeric tokens not in this step evidence quote: 1.0
0045,sci_evo_0045,warning,step 2: numeric tokens not in this step evidence quote: 3
0045,sci_evo_0045,warning,step 5: numeric tokens not in this step evidence quote: 28
0045,sci_evo_0045,warning,step 7: numeric tokens not in this step evidence quote: 2.6-16
0045,sci_evo_0045,warning,step 8: numeric tokens not in this step evidence quote: 90
0045,sci_evo_0045,warning,step 9: numeric tokens not in this step evidence quote: 90
0045,sci_evo_0045,warning,phase_backtrack_count=2
0047,sci_evo_0047,warning,step 2: numeric tokens not in this step evidence quote: 4x106
0047,sci_evo_0047,warning,"step 3: numeric tokens not in this step evidence quote: 10, 5"
0047,sci_evo_0047,warning,step 6: numeric tokens not in this step evidence quote: 4
0047,sci_evo_0047,warning,phase_backtrack_count=3
0048,sci_evo_0048,warning,step 2: numeric tokens not in this step evidence quote: 3
0050,sci_evo_0050,warning,"step 3: numeric tokens not in this step evidence quote: 300, 50, 500, 5000"
0050,sci_evo_0050,warning,step 5: numeric tokens not in this step evidence quote: 1-8
0050,sci_evo_0050,warning,phase_backtrack_count=1
0052,sci_evo_0052,warning,step 3: numeric tokens not in this step evidence quote: 4.0
0052,sci_evo_0052,warning,step 8: numeric tokens not in this step evidence quote: 47
0052,sci_evo_0052,warning,step 9: numeric tokens not in this step evidence quote: 36
0052,sci_evo_0052,warning,phase_backtrack_count=3
0053,sci_evo_0053,warning,step 2: numeric tokens not in this step evidence quote: 3
0053,sci_evo_0053,warning,step 3: numeric tokens not in this step evidence quote: 298
0053,sci_evo_0053,warning,step 5: numeric tokens not in this step evidence quote: 9
0053,sci_evo_0053,warning,step 6: numeric tokens not in this step evidence quote: 5
0053,sci_evo_0053,warning,"step 10: numeric tokens not in this step evidence quote: 20, 8"
0053,sci_evo_0053,warning,"step 12: numeric tokens not in this step evidence quote: 13, 5"
0053,sci_evo_0053,warning,phase_backtrack_count=3
0053,sci_evo_0053,warning,evidence_quote_reused_3plus=2
0055,sci_evo_0055,warning,step 2: numeric tokens not in this step evidence quote: 9
